datetime,temperature,solar_irradiance,windspeed_north,windspeed_east,pressure,spec_humidity
2019-01-03 07:00:00,2.2565551757812727,0.0,1.1245351,-2.2913413,103217.63,0.0038272494
2019-01-03 08:00:00,2.2674804687500227,10.6640625,1.3146771,-2.2216396,103227.06,0.003842125
2019-01-03 09:00:00,2.6897521972656477,80.34375,1.4017785,-2.0623727,103234.94,0.004004874
2019-01-03 10:00:00,3.7585998535156477,163.4375,1.4295769,-2.0651126,103221.97,0.004152204
2019-01-03 11:00:00,4.614770507812523,226.0,1.3127036,-1.9849596,103203.26,0.004114426
2019-01-03 12:00:00,5.050531005859398,244.0625,0.92023396,-1.7550421,103182.77,0.0040767975
2019-01-03 13:00:00,5.224450683593773,209.625,0.32068446,-1.6997674,103184.305,0.0040697544
2019-01-03 14:00:00,5.226770019531273,141.9375,-0.20430008,-1.7795469,103198.36,0.004213848
2019-01-03 15:00:00,4.883508300781273,53.28125,-0.28089857,-2.073594,103213.17,0.004171647
2019-01-03 16:00:00,3.8203063964843977,0.9069824,-0.05217492,-2.509643,103206.81,0.0040244446
2019-01-03 17:00:00,3.1267333984375227,0.0,0.25681782,-2.7231195,103197.64,0.003944154
2019-01-03 18:00:00,2.7260681152343977,0.0,0.5184096,-2.7345843,103193.695,0.0038285549
2019-01-03 19:00:00,2.1985412597656477,0.0,0.7257434,-2.6925387,103203.94,0.003748028
2019-01-03 20:00:00,1.8955932617187727,0.0,0.9371511,-2.6319084,103199.42,0.0037007667
2019-01-03 21:00:00,1.7251525878906477,0.0,1.2338452,-2.5239801,103187.0,0.0036655413
2019-01-03 22:00:00,1.5648742675781477,0.0,1.5709062,-2.3176525,103174.7,0.003641821
2019-01-03 23:00:00,1.4833007812500227,0.0,1.7603554,-2.1076422,103181.24,0.0036469263
2019-01-04 00:00:00,1.4979797363281477,0.0,1.8003564,-1.8279824,103193.22,0.0036826634
2019-01-04 01:00:00,1.7483764648437727,0.0,1.8006126,-1.2400444,103185.92,0.0037168118
2019-01-04 02:00:00,2.3200317382812727,0.0,1.5778252,-0.60831463,103174.95,0.0037498977
2019-01-04 03:00:00,2.7615600585937727,0.0,0.9539688,-0.74138725,103165.76,0.003765637
2019-01-04 04:00:00,2.8766418457031477,0.0,0.38769943,-1.6142771,103175.31,0.003846912
2019-01-04 05:00:00,2.4768920898437727,0.0,0.36132908,-2.2228382,103189.07,0.0039279554
2019-01-04 06:00:00,2.2921997070312727,0.0,0.79690444,-2.233646,103177.3,0.003941879
2019-01-04 07:00:00,2.2971435546875227,0.0,1.15865,-1.8864143,103172.3,0.00390993
2019-01-04 08:00:00,2.3877502441406477,11.4921875,1.1619453,-1.7541491,103209.79,0.003912598
2019-01-04 09:00:00,2.7470031738281477,84.28125,1.1340995,-1.4339731,103242.07,0.0040220716
2019-01-04 10:00:00,3.6911254882812727,162.75,1.2187147,-0.8545377,103241.66,0.0041772886
2019-01-04 11:00:00,4.596093750000023,216.625,1.259816,-0.26345384,103208.89,0.004122248
2019-01-04 12:00:00,5.126245117187523,226.25,1.0149524,0.06992686,103167.25,0.004124739
2019-01-04 13:00:00,5.450524902343773,192.75,0.69644535,0.08282709,103138.16,0.0041378466
2019-01-04 14:00:00,5.503991699218773,121.46875,0.32689378,0.0044401884,103132.89,0.0041459366
2019-01-04 15:00:00,5.344689941406273,40.65625,0.015906692,-0.19720483,103133.61,0.004055121
2019-01-04 16:00:00,4.854089355468773,0.7519531,-0.11296841,-0.5965314,103145.234,0.0039854506
2019-01-04 17:00:00,4.486230468750023,0.0,-0.0684167,-0.9286299,103169.72,0.0039894865
2019-01-04 18:00:00,4.248712158203148,0.0,0.046799347,-1.1288074,103192.55,0.0039459527
2019-01-04 19:00:00,3.9048706054687727,0.0,0.118648365,-1.1938574,103200.1,0.0038751585
2019-01-04 20:00:00,3.7139221191406477,0.0,0.13609575,-1.1704742,103197.414,0.0037845848
2019-01-04 21:00:00,3.4173217773437727,0.0,0.13795912,-1.1043239,103175.04,0.0037135868
2019-01-04 22:00:00,3.1217285156250227,0.0,0.18544269,-1.0692564,103151.164,0.003679457
2019-01-04 23:00:00,2.9087768554687727,0.0,0.31590188,-1.0742749,103132.945,0.003664125
2019-01-05 00:00:00,2.7735534667968977,0.0,0.4991004,-1.0340737,103122.87,0.003646677
2019-01-05 01:00:00,2.6799255371093977,0.0,0.7163108,-0.9711156,103114.71,0.0036274395
2019-01-05 02:00:00,2.5810485839843977,0.0,0.9633073,-0.90625715,103102.57,0.003610084
2019-01-05 03:00:00,2.4310546875000227,0.0,1.2036254,-0.75840366,103074.05,0.0035937645
2019-01-05 04:00:00,2.4090820312500227,0.0,1.3784066,-0.4541402,103028.73,0.003576804
2019-01-05 05:00:00,2.4311157226562727,0.0,1.4493152,-0.048140645,103005.15,0.0035793048
2019-01-05 06:00:00,2.4365478515625227,0.0,1.4022398,0.33162105,102997.99,0.0036047143
2019-01-05 07:00:00,2.3626647949218977,0.0,1.2951918,0.6233221,103018.7,0.003653115
2019-01-05 08:00:00,2.4263549804687727,13.308594,1.2658138,0.78037,103038.02,0.0037328862
2019-01-05 09:00:00,2.7868591308593977,89.6875,1.3255198,0.8461988,103045.43,0.0039371084
2019-01-05 10:00:00,3.4295593261718977,165.625,1.4627292,0.9594152,103039.586,0.0042435303
2019-01-05 11:00:00,4.459680175781273,197.125,1.7309902,1.3104186,103008.08,0.0043700277
2019-01-05 12:00:00,5.074426269531273,161.3125,1.8200494,1.5077803,102953.76,0.00454917
2019-01-05 13:00:00,5.331811523437523,89.84375,1.7062348,1.6192913,102907.42,0.0047050687
2019-01-05 14:00:00,5.237908935546898,39.765625,1.535571,1.7416155,102884.45,0.004740856
2019-01-05 15:00:00,4.897760009765648,12.167969,1.3699126,2.0377965,102871.94,0.0047542145
2019-01-05 16:00:00,4.738244628906273,0.2529297,1.1406007,2.2493045,102861.55,0.0047824
2019-01-05 17:00:00,4.862298583984398,0.0,0.936915,2.390419,102866.67,0.004818472
2019-01-05 18:00:00,5.119622802734398,0.0,0.81847227,2.4717417,102884.516,0.0048585036
2019-01-05 19:00:00,5.255822753906273,0.0,0.7833499,2.5342984,102888.4,0.004930858
2019-01-05 20:00:00,5.384637451171898,0.0,0.8222855,2.5887008,102892.46,0.0050355513
2019-01-05 21:00:00,5.561120605468773,0.0,0.9072045,2.60669,102879.875,0.0051203384
2019-01-05 22:00:00,5.696313476562523,0.0,1.0151839,2.5941677,102856.11,0.005180577
2019-01-05 23:00:00,5.789392089843773,0.0,1.0717715,2.6494489,102831.3,0.0052378126
2019-01-06 00:00:00,5.933770751953148,0.0,1.0385458,2.767154,102796.445,0.0052916673
2019-01-06 01:00:00,6.126184082031273,0.0,0.9506064,2.888942,102784.805,0.0053612376
2019-01-06 02:00:00,6.379052734375023,0.0,0.7937996,3.0051684,102784.94,0.005456639
